category,description,title,institute,site,credits,id
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  12970
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  14620
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13337
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15121
,"This course examines the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called food of the gods. Interdisciplinary course readings introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate's future of scientific study, international politics, alternative trade models, and the food movement. Assignments address pressing real-world questions related to chocolate consumption, social justice, responsible development, honesty and the politics of representation in production and marketing, hierarchies of quality, and myths of purity.","
      AAAS E-119 Chocolate, Culture, and the Politics of Food    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  24223
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  13492
,"This course introduces students to the demands and conventions of academic reading and writing. It focuses on analyzing texts, building effective arguments, and using evidence and secondary source material. Instruction on the stages of the writing process, from prewriting exercises through rough drafts and revisions, forms a key part of the curriculum. Students applying to the undergraduate program at the Extension School must complete this course, but it is open to any student interested in gaining an understanding of academic writing.","
      EXPO E-25 Academic Writing and Critical Reading    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  15124
,"This course cultivates an understanding of eukaryotic cellular and subcellular structure, with close attention to structure/function relationships that govern cellular processes at the molecular level. We examine the differences between several eukaryotic model systems, including fission and budding yeast, slime mold, plants, and mammalian cells in culture. We further discuss the specific experimental techniques amenable to the study of cell biology in each system and how discoveries made using model organisms have influenced modern cell biology.","
      BIOS E-16 Cell Biology    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22958
,"This is a general course in genetics providing a broad view of gene action from the molecular to the population levels, with emphasis on eukaryotes. Topics include bacterial and viral genetics, Mendelian genetics, mutation and DNA repair, forensic DNA technology, chromosome structure and function, genomics, and population and evolutionary genetics.","
      BIOS E-14 Principles of Genetics    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22962
,"Students gain in-depth knowledge of nucleic acid structure, molecular genetics, and the biochemistry of transcription and protein synthesis. Working from this foundation, students explore mechanisms of gene regulation in prokaryotes, eukaryotes, and viruses. The roles played by gene regulation and rearrangement in diseases are also examined. One large project comprises three linked laboratory exercises that introduce students to important recombinant DNA and protein expression techniques. Students learn about the construction of an expression plasmid and assays for normal promoter function.","
      BIOS E-12 Principles and Techniques of Molecular Biology    ",Harvard University Extension School,www.extension.harvard.edu,4,CRN  22965
